left_title	right_title	result	confidence	id	left_url	right_url
США заявили о восстановлении санкций против Ирана вопреки ООН	В России отреагировали на заявление США о восстановлении санкций против Ирана	left_right_cause	1.0	2420	https://lenta.ru/news/2020/09/20/us_iran/	https://lenta.ru/news/2020/09/20/sboon/
ФСБ задержала россиянина по подозрению в госизмене	Раскрыта личность задержанного ФСБ по подозрению в госизмене россиянина	left_right_cause	1.0	725	https://lenta.ru/news/2021/02/19/voronin/	https://lenta.ru/news/2021/02/19/voronin2/
Россиян предупредили о грядущем подорожании оливкового масла	Подорожание оливкового масла в России опровергли	left_right_cancel	1.0	767	https://lenta.ru/news/2021/03/01/olive/	https://lenta.ru/news/2021/03/01/oliva/
Четверо детей погибли при пожаре в российском регионе	Названа причина унесшего жизни четырех детей пожара в российском регионе	left_right_cause	1.0	1750	https://lenta.ru/news/2020/06/06/children/	https://lenta.ru/news/2020/06/06/pozhaar/
Умер актер из «Бригады» Виталий Альшанский	Раскрыты подробности смерти звезды сериала «Бригада» Виталия Альшанского	left_right_cause	1.0	623	https://lenta.ru/news/2021/02/05/olshanskyrip/	https://lenta.ru/news/2021/02/05/alshanskiy/
Последствия взрыва на заправке в Волгограде попали на видео	Число пострадавших при взрыве на заправке в Волгограде снова выросло	rel	1.0	2149	https://lenta.ru/news/2020/08/10/aftermath/	https://lenta.ru/news/2020/08/10/moreinjuries/
Возросло число жертв смертельной перестрелки в Ингушетии	Восстановлена картина смертельной перестрелки в Ингушетии	rel	1.0	1808	https://lenta.ru/news/2020/06/16/umer/	https://lenta.ru/news/2020/06/16/kartina/
Появились подробности о найденной с кошками и отзывающейся на «кис-кис» девочке	Под Москвой нашли живущую среди кошек и отзывающуюся на «кис-кис» девочку	right_left_cause	1.0	910	https://lenta.ru/news/2021/03/24/podrobnosti/	https://lenta.ru/news/2021/03/24/girl/
К словам Разина о популярных певицах-эскортницах призвали отнестись с юмором	Продюсер «Ласкового мая» рассказал о популярных певицах-эскортницах	right_left_cause	1.0	960	https://lenta.ru/news/2021/03/31/youmour/	https://lenta.ru/news/2021/03/30/razzzin/
Министр культуры Крыма объяснила свою ругань на совещании с Аксеновым	Министр культуры Крыма прервала выступление Аксенова фразой «** твою мать»	right_left_cause	1.0	829	https://lenta.ru/news/2021/03/11/minlukt/	https://lenta.ru/news/2021/03/11/mat/
Продолжение «Бората» получило длинное название	Продолжение «Бората» получило тизер и дату выхода	rel	1.0	2491	https://lenta.ru/news/2020/09/28/borat2/	https://lenta.ru/news/2020/10/01/borat222/
Журова отреагировала на снятие российского флага на ЧМ по шашкам в Польше	Флаг России убрали со стола во время матча на чемпионате мира по шашкам в Польше	right_left_cause	1.0	1097	https://lenta.ru/news/2021/04/28/svetlanaelzya/	https://lenta.ru/news/2021/04/28/shahkiflag/
В Google назвали причину глобального сбоя	В работе YouTube и Google произошел сбой	right_left_cause	1.0	354	https://lenta.ru/news/2020/12/14/sboi_prichina/	https://lenta.ru/news/2020/12/14/youtube_sboi/
Названа причина обрушения сайта госуслуг после обращения Путина	Сайт госуслуг обрушился после обращения Путина и обещания новых выплат на детей	right_left_cause	1.0	1600	https://lenta.ru/news/2020/05/11/gosuslugi/	https://lenta.ru/news/2020/05/11/gos/
Нидерланды отреагировали на отказ России от консультаций по делу MH17	Россия отказалась от консультаций с Австралией и Нидерландами по делу МН17	right_left_cause	0.9	2594	https://lenta.ru/news/2020/10/15/sozhalenie/	https://lenta.ru/news/2020/10/15/vishli/
Павел Деревянко объяснил расставание с женой	Павел Деревянко расстался с женой	right_left_cause	0.9	361	https://lenta.ru/news/2020/12/15/derevyanko/	https://lenta.ru/news/2020/12/11/derevyanko/
Опальный схимонах Сергий отказался от еды и воды в изоляторе	ФСИН опровергла голодовку опального схимонаха Сергия	left_right_cancel	0.9	442	https://lenta.ru/news/2020/12/30/sizo/	https://lenta.ru/news/2020/12/30/fsin_eda/
В российском доме престарелых умер постоялец с коронавирусом	Еще полсотни людей заразились коронавирусом в российском доме престарелых	rel	0.9	1451	https://lenta.ru/news/2020/04/15/umer/	https://lenta.ru/news/2020/04/15/vyazma/
Гитарист Queen попал в больницу с «разорванной в клочья» ягодицей	Гитарист Queen рассказал о последствиях от «разорванной в клочья» ягодицы	left_right_cause	0.9	1681	https://lenta.ru/news/2020/05/08/brian_gluteus/	https://lenta.ru/news/2020/05/25/quee/
Призвавший Гейтса сообщить о чипировании населения российский депутат объяснился	Российский депутат призвал Билла Гейтса рассказать о планах чипировать население	right_left_cause	0.9	1574	https://lenta.ru/news/2020/05/05/ponyatno/	https://lenta.ru/news/2020/05/05/otvechai/
Рейсовый самолет отдали губернатору и заставили 40 россиян ждать следующего	Власти Забайкалья опровергли данные о снятии россиян с рейса ради губернатора	left_right_cancel	0.9	757	https://lenta.ru/news/2020/11/20/reysovi/	https://lenta.ru/news/2020/11/20/rebuttal/
Устроившего стрим с мертвой подругой российского блогера отпустили	Названа причина смерти беременной подруги российского блогера во время стрима	rel	0.9	271	https://lenta.ru/news/2020/12/02/otpustili/	https://lenta.ru/news/2020/12/03/valentina/
Над Ереваном заметили военную авиацию	Появилась новая информация о пролетевшем над Ереваном истребителе	left_right_cause	0.9	749	https://lenta.ru/news/2021/02/25/aviacia/	https://lenta.ru/news/2021/02/25/mig/
Соловьев наорал на подчиненных и пригрозил увольнениями	Уткин объяснил крики Соловьева в эфире	left_right_cause	0.9	1496	https://lenta.ru/news/2020/04/16/solovyev_uvolu/	https://lenta.ru/news/2020/04/21/utkin_o_krikah/
Бывшая крупнейшая сеть магазинов России опровергла масштабное закрытие	Бывшая крупнейшая сеть магазинов в России закроется	right_left_cancel	0.9	60	https://lenta.ru/news/2020/03/03/kub/	https://lenta.ru/news/2020/03/02/cube/
В ЦИК проверили депутатов Госдумы на двойное гражданство	Заподозренные в наличии двойного гражданства депутаты прокомментировали проверку	left_right_cause	0.9	2095	https://lenta.ru/news/2020/07/30/pamfilova/	https://lenta.ru/news/2020/07/29/double/
Задержание сына бывшего губернатора Фургала опровергли	Стало известно о задержании сына бывшего губернатора Фургала	right_left_cancel	0.9	2519	https://lenta.ru/news/2020/10/05/furgal2/	https://lenta.ru/news/2020/10/05/sonofurgal/
Задержан зарезавший в суде многодетную россиянку	В российском суде убили многодетную мать и ранили пристава	right_left_cause	0.9	159	https://lenta.ru/news/2020/03/18/popov/	https://lenta.ru/news/2020/03/18/ural/
УЕФА отреагировал на расистский скандал в матче Лиги чемпионов	Обвиненный в расистских высказываниях судья объяснился	rel	0.9	317	https://lenta.ru/news/2020/12/09/uefa_reaction/	https://lenta.ru/news/2020/12/09/sudya/
В Вене произошла стрельба у синагоги	Появилась информация о погибшем при нападении на синагогу в Вене	left_right_cause	0.9	1228	https://lenta.ru/news/2020/11/02/vienna/	https://lenta.ru/news/2020/11/02/1_victim/
Стало известно о сорванных ФСБ планах авторитета Шишкана сбежать за границу	Авторитет Шишкан симулировал психическое расстройство по делу об убийствах	rel	0.9	1145	https://lenta.ru/news/2020/11/27/shishkan/	https://lenta.ru/news/2020/11/27/shish/
Синоптики предупредили москвичей о рекордных снегопадах	Москвичам предрекли 36-часовой снежный апокалипсис	same	0.9	654	https://lenta.ru/news/2021/02/10/msk_snow/	https://lenta.ru/news/2021/02/10/apokalipsis/
Стало известно о самочувствии привившегося «Спутником V» экс-посла Швейцарии	Бывший посол Швейцарии в России привился вакциной «Спутник V»	right_left_cause	0.9	574	https://lenta.ru/news/2021/01/27/les/	https://lenta.ru/news/2021/01/19/posly/
В России впервые изучат доступность сайтов госорганов для людей с инвалидностью	На доступность для россиян с инвалидностью проверят тысячи сайтов госорганов	same	0.9	1427	https://lenta.ru/news/2020/02/28/ovz/	https://lenta.ru/news/2020/04/10/sites/
Уволившее скандального ведущего телешоу потеряло почти половину зрителей	Увольнение скандального ведущего обрушило рейтинги телешоу	same	0.9	877	https://lenta.ru/news/2021/03/19/even_worse/	https://lenta.ru/news/2021/03/16/ratings_down/
Подхватившего коронавирус российского врача заподозрили в заражении 11 человек	Российский инфекционист скрыла поездку в Европу и заразилась коронавирусом	right_left_cause	0.9	164	https://lenta.ru/news/2020/03/21/infectionist/	https://lenta.ru/news/2020/03/21/infect/
Призер Олимпиады из России решил выступать за Швейцарию	Вяльбе отреагировала на переход призера ОИ из России в сборную Швейцарии	left_right_cause	0.8	1691	https://lenta.ru/news/2020/05/26/chernous/	https://lenta.ru/news/2020/05/26/vyalbesbornaya/
Жена российского музыканта сделала селфи с супругом сразу после его смерти	Жена Павла Бесфамильного объяснила селфи на фоне мертвого супруга	left_right_cause	0.8	2396	https://lenta.ru/news/2020/09/15/selfi/	https://lenta.ru/news/2020/09/17/selfie/
Умер актер из фильма «Сумерки»	Причиной смерти звезды «Сумерек» оказались наркотики	left_right_cause	0.8	1723	https://lenta.ru/news/2020/05/19/twilight/	https://lenta.ru/news/2020/06/02/drugzzz/
Умер личный пилот Путина и Ельцина	Названа причина смерти личного пилота Путина и Ельцина	left_right_cause	0.8	1542	https://lenta.ru/news/2020/04/29/pilot/	https://lenta.ru/news/2020/04/29/prichina/
МЧС завело аккаунт в TikTok	МИД России завел аккаунт в TikTok	rel	0.8	640	https://lenta.ru/news/2021/02/07/tiktok/	https://lenta.ru/news/2021/02/06/tiktok/
Иностранцам запретили владеть землей в Крыму	В Крыму отреагировали на запрет иностранцам владеть землей	left_right_cause	0.8	886	https://lenta.ru/news/2021/03/20/crimea/	https://lenta.ru/news/2021/03/20/zeml/
Президент Польши дождался приглашения выступить на форуме в Израиле и не поехал	Президент Польши назвал правильным решение не приехать на форум памяти холокоста	left_right_cause	0.8	1840	https://lenta.ru/news/2020/01/22/vse_ravno_net/	https://lenta.ru/news/2020/01/23/duda_poland/
Во ФСИН рассказали про драку полковника-миллиардера Захарченко с «обиженным»	Избитый полковником Захарченко осужденный оказался двухметровым тяжеловесом	rel	0.8	260	https://lenta.ru/news/2020/01/14/zakhar2/	https://lenta.ru/news/2020/01/14/zakhar3/
Дзюба сообщил ФСБ о вымогательстве миллионов долларов за интимное видео	Раскрыта перспектива обращения Дзюбы в ФСБ из-за шантажа интимным видео	left_right_cause	0.8	284	https://lenta.ru/news/2020/11/13/dzuba/	https://lenta.ru/news/2020/11/13/dzubatwo/
Ушедший в политику Шнуров высказался о песне про выборы и кандидатов	Сергей Шнуров официально пошел в политику	right_left_cause	0.8	1404	https://lenta.ru/news/2020/02/20/postmoderm/	https://lenta.ru/news/2020/02/20/lol/
Российский самолет экстренно сел из-за угрожавшей взорвать себя пассажирки	Стало известно о происходящем на борту севшего из-за угрозы взрыва самолета	left_right_cause	0.8	2236	https://lenta.ru/news/2020/01/30/domoded/	https://lenta.ru/news/2020/01/30/samolet/
Обвиняемый в педофилии россиянин упал с кровати в камере и умер	Смертельное падение педофила с кровати в камере российского СИЗО попало на видео	left_right_cause	0.8	2090	https://lenta.ru/news/2020/07/29/ymer/	https://lenta.ru/news/2020/07/29/pedo/
Турция пошла в наступление в Идлибе	В районе турецкой военной операции в Идлибе заметили российские Су-35С	rel	0.8	2810	https://lenta.ru/news/2020/02/20/idlib/	https://lenta.ru/news/2020/02/20/neyrab/
Раскрыты возможные причины загадочного явления у берегов Сочи	Загадочное явление у берегов Сочи стало предметом споров в сети	right_left_cause	0.7	2487	https://lenta.ru/news/2020/09/30/prichin/	https://lenta.ru/news/2020/09/28/burl/
Российские власти прокомментировали ввод минимальных цен на весь алкоголь	В России захотели ввести минимальную цену на весь алкоголь	right_left_cause	0.7	1112	https://lenta.ru/news/2021/04/30/alcominkomm/	https://lenta.ru/news/2021/04/30/alko/
Стрельба начальника отдела казанской полиции по подчиненным попала на видео	Полковник российской полиции расстрелял подчиненных за плохую работу	right_left_cause	0.7	2296	https://lenta.ru/news/2020/09/02/fireinthehall/	https://lenta.ru/news/2020/09/02/tatrstan/
Раскрыты подробности смертельного пожара в Новой Москве	При пожаре в Новой Москве погибли трое детей	rel	0.7	632	https://lenta.ru/news/2021/02/06/podrobnosti/	https://lenta.ru/news/2021/02/06/mchs/
