left_title	right_title	result	confidence	id	left_url	right_url
Врачи назвали худшие цветы для подарка на 8 Марта	Роспотребнадзор назвал правила хранения и выбора мандаринов	bad	1.0	68756	https://lenta.ru/news/2021/03/03/flowers/	https://lenta.ru/news/2020/12/14/hrani_pravilno/
Стали известны подробности смерти 23-летнего российского хоккеиста	Российский хоккеист умер в 23 года	right_left_cause	1.0	25446	https://lenta.ru/news/2020/07/10/rip_vhl/	https://lenta.ru/news/2020/07/10/umr/
Объяснена опасность сырого мяса	Ненавидевшие друг друга мужчина и женщина поженились и 70 лет были счастливы	bad	1.0	21761	https://lenta.ru/news/2020/01/25/meat/	https://lenta.ru/news/2020/06/22/hate/
Появились новые данные о самочувствии заразившегося коронавирусом Мишустина	Стало известно о состоянии заразившегося коронавирусом Мишустина	same	1.0	14419	https://lenta.ru/news/2020/05/05/mishustin/	https://lenta.ru/news/2020/05/11/mishustin/
Белоруссия поблагодарила США за поддержку независимости	Белоруссия проинформировала США о нюансах избирательной кампании	rel	1.0	31962	https://lenta.ru/news/2020/08/20/bel_usa/	https://lenta.ru/news/2020/07/22/bel_usa/
Данные застрявших за границей россиян выставили на продажу	Россия возобновила вывоз застрявших за границей граждан	rel	0.9	14233	https://lenta.ru/news/2020/04/30/utechka/	https://lenta.ru/news/2020/04/06/snovadomoy/
В России предсказали судьбу фельдмаршала Хафтара	В Ливии собрались атаковать армию Хафтара	rel	0.9	21600	https://lenta.ru/news/2020/06/04/haftar/	https://lenta.ru/news/2020/07/20/halifa_haftar/
В московском зоопарке умер «аллигатор Гитлера»	Умерла самая толстая и счастливая кастрированная рысь	bad	0.9	16148	https://lenta.ru/news/2020/05/23/saturn/	https://lenta.ru/news/2020/05/16/lynx/
Оперштаб опроверг данные о третьей волне коронавируса в России	Песков прокомментировал сообщения о третьей волне коронавируса в России	rel	0.9	79740	https://lenta.ru/news/2021/04/28/oproverg/	https://lenta.ru/news/2021/03/31/pandemic/
Названа примерная стоимость коронавирусного центра в Москве	Стоимость построенной в Новой Москве больницы для борьбы с коронавирусом оценили	same	0.9	10758	https://lenta.ru/news/2020/04/14/moscoww/	https://lenta.ru/news/2020/04/24/howmuch/
Украина отвергла переговоры Путина, Макрона и Меркель без Зеленского	Зеленский захотел поговорить о Донбассе с Макроном и Меркель без Путина	rel	0.9	79565	https://lenta.ru/news/2021/03/29/net/	https://lenta.ru/news/2021/04/09/otvet/
Маргарита Симоньян попала в реанимацию	Муж Маргариты Симоньян рассказал о ее самочувствии	left_right_cause	0.9	17782	https://lenta.ru/news/2020/01/22/simonyan/	https://lenta.ru/news/2020/01/23/simonyan/
Фильм Кончаловского про расстрел рабочих в СССР попал на Венецианский фестиваль	Кончаловский получил специальную премию жюри Венецианского кинофестиваля	left_right_cause	0.9	2357	https://lenta.ru/news/2020/07/28/konchalovskyi/	https://lenta.ru/news/2020/09/12/film_venecia/
Авербух назвал критерии отбора для участия в «Ледниковом периоде»	Авербух дал совет Трусовой после провала в короткой программе на ЧМ	rel	0.9	73576	https://lenta.ru/news/2021/01/27/averbuch/	https://lenta.ru/news/2021/03/26/provalilya/
В Верховной Раде призвали отказать Ирану в доверии	Порошенко призвал созвать Совбез ООН из-за авиакатастрофы в Иране	rel	0.9	4258	https://lenta.ru/news/2020/01/11/neverte/	https://lenta.ru/news/2020/01/10/porrrrrrrrrrrrroh/
Названа причина легких симптомов из-за коронавируса	Назван новый признак заражения коронавирусом	rel	0.9	12184	https://lenta.ru/news/2020/04/22/symptom/	https://lenta.ru/news/2020/03/28/sign/
Россияне массово сменили место жительства	Россияне повально захотели поехать в один город России по работе	rel	0.9	71566	https://lenta.ru/news/2021/02/09/pandemic_move/	https://lenta.ru/news/2021/04/22/komandirovochka/
Стало известно об угрозе повторного схода лавины в Норильске	Стало известно о первой погибшей в результате схода лавины в Норильске	rel	0.9	55421	https://lenta.ru/news/2021/01/08/povtor/	https://lenta.ru/news/2021/01/09/first/
Анонсирован бой Нурмагомедова с Гэтжи	Соперник Фергюсона потребовал от Нурмагомедова желания убивать	rel	0.8	20544	https://lenta.ru/news/2020/06/25/khabibanons/	https://lenta.ru/news/2020/04/23/ferhiekhabib/
Турция захотела сотрудничать с Россией после обнаружения газа в Черном море	Турция нашла месторождения газа в Черном море	right_left_cause	0.8	51504	https://lenta.ru/news/2020/08/25/turkey_gaz/	https://lenta.ru/news/2020/08/20/more/
Власти Ирана уточнили число погибших в катастрофе с украинским самолетом	Стало известно об отсутствии россиян на борту разбившегося в Иране лайнера	rel	0.8	3733	https://lenta.ru/news/2020/01/08/179/	https://lenta.ru/news/2020/01/08/russians/
Песков заявил об отсутствии в планах Путина встречи с Меркель и Макроном	Эрдоган собрался в Москву	bad	0.8	9073	https://lenta.ru/news/2020/03/03/meeting/	https://lenta.ru/news/2020/02/28/meeting/
Путин поторопил правительство с введением налога для богатых	В Кремле прокомментировали петицию миллионеров об увеличении налогов	rel	0.8	19634	https://lenta.ru/news/2020/07/09/ndfl/	https://lenta.ru/news/2020/07/13/peskov/
Ветеран нашел потерянную пассию при помощи объявления на перекрестке	Девушка случайно познакомилась с отцом на сайте для поиска спонсора	bad	0.8	36658	https://lenta.ru/news/2020/08/12/date/	https://lenta.ru/news/2020/08/14/sugar_batya/
В Подмосковье еще один человек заразился коронавирусом	Число зараженных коронавирусом в Подмосковье превысило 500	rel	0.8	19115	https://lenta.ru/news/2020/03/20/onemore/	https://lenta.ru/news/2020/04/08/morethan500/
Во Франции задержали обещавшего отомстить учителям за пророка Мухаммеда мужчину	Четыре человека задержаны по делу об убийстве преподавателя во Франции	rel	0.8	44311	https://lenta.ru/news/2020/11/04/man/	https://lenta.ru/news/2020/10/17/zaderjany/
Репортеры НТВ вынудили дочь Ефремова закрыться от журналистов	Несовершеннолетняя дочь Ефремова поделилась переживаниями	rel	0.8	35812	https://lenta.ru/news/2020/06/18/efremova_journ/	https://lenta.ru/news/2020/08/11/doch_efremova/
Россиян предупредили о росте цен на алкоголь	Россиян предупредили о резком росте цен на продукты	rel	0.8	16988	https://lenta.ru/news/2020/03/25/alcohol/	https://lenta.ru/news/2020/04/07/chuchut/
Возможности PlayStation 5 ограничат	Раскрыты сроки выхода PlayStation 5 Slim	rel	0.8	64075	https://lenta.ru/news/2020/11/09/ps5_ssd/	https://lenta.ru/news/2021/03/11/ps5slim/
Названы лучшие маринованные огурцы	Назван лучший стиральный порошок	bad	0.8	50120	https://lenta.ru/news/2020/09/11/cucumber/	https://lenta.ru/news/2020/10/22/detergent/
